slug	name	snomed	icd10	system	kind
legionnaires-disease	Legionnaires' disease	195889001	A48.1	infectious	disorder
leptospirosis	Leptospirosis (Weil's disease)	77377001	A27.9	infectious	disorder
leukoplakia	Leukoplakia	274134003		unclassified	disorder
lichen-planus	Lichen planus	4776004	L43.9	skin	disorder
lichen-sclerosus	Lichen sclerosus	895454001	L90.0	unclassified	disorder
lipoedema	Lipoedema	234102003	R60.9	unclassified	disorder
lipoma	Lipoma	93163002	D17.9	neoplasm	disorder
listeriosis	Listeriosis	4241002	A32.9	infectious	disorder
liver-cancer	Liver cancer	93870000	C22.9	neoplasm	disorder
liver-disease	Liver disease	235856003	K76.9	digestive	disorder
long-qt-syndrome	Long QT syndrome	9651007	I49.8	cardiovascular	disorder
low-blood-pressure-hypotension	Blood pressure (low), see Low blood pressure (hypotension)	45007003	I95.9	cardiovascular	disorder
low-blood-sugar-hypoglycaemia	Hypoglycaemia, see Low blood sugar (hypoglycaemia)	302866003	E16.2	endocrine	disorder
lung-cancer	Lung cancer	363358000	C34.9	neoplasm	disorder
lupus	Lupus	200936003	L93.0	unclassified	disorder
lyme-disease	Lyme disease	23502006	A69.2	infectious	disorder
lymphoedema	Lymphoedema	234097001	I89.0	unclassified	disorder
macular-hole	Macular hole	232006002	H35.3	eye	disorder
malaria	Malaria	61462000		infectious	disorder
malignant-brain-tumour	Malignant brain tumour (brain cancer)	428061005	C71.9	neoplasm	disorder
mallet-finger	Mallet finger	64298006	M20.0	traumatic-or-injury	disorder
marfan-syndrome	Marfan syndrome	19346006	Q87.4	unclassified	disorder
mastitis	Mastitis	266579006		unclassified	disorder
mastoiditis	Mastoiditis	52404001	H70.9	musculoskeletal	disorder
measles	Measles	14189004	B05.9	infectious	disorder
medically-unexplained-symptoms	Functional neurological disorder, see Medically unexplained symptoms	735541006	F44.9	mental-health	disorder
menieres-disease	Ménière's disease	13445001	H81.0	ear	disorder
meningitis	Meningitis	7180009	G03.9	neurological	disorder
mesothelioma	Mesothelioma	109378008	C45.9	neoplasm	disorder
metabolic-syndrome	Metabolic syndrome	237602007	E88.8	unclassified	disorder
middle-east-respiratory-syndrome-mers	Middle East respiratory syndrome (MERS)	651000146102	B34.2	infectious	disorder
migraine	Migraine	37796009	G43.9	cardiovascular	disorder
miscarriage	Miscarriage	17369002	O03.9	unclassified	disorder
moles	Moles	400096001	D22.9	neoplasm	disorder
mortons-neuroma	Morton's neuroma	30085007	G57.6	neurological	disorder
motion-sickness	Motion sickness	37031009	T75.3	unclassified	presentation
motor-neurone-disease	Motor neurone disease (MND)	37340000	G12.2	neurological	disorder
mouth-cancer	Mouth cancer	363505006	C06.9	neoplasm	disorder
mouth-ulcers	Mouth ulcers	26284000	K12.1	unclassified	disorder
mpox	Mpox	359814004		infectious	disorder
mucositis	Mucositis	95361005		unclassified	disorder
multiple-sclerosis	Multiple sclerosis	24700007		neurological	disorder
multiple-system-atrophy	Multiple system atrophy (MSA)	230297002	G23.2	neurological	disorder
mumps	Mumps	36989005	B26.9	infectious	disorder
muscular-dystrophy	Muscular dystrophy	73297009	G71.0	musculoskeletal	disorder
myasthenia-gravis	Myasthenia gravis	91637004	G70.0	neurological	disorder
myelodysplastic-syndrome-mds	Myelodysplastic syndrome (MDS)	109995007	D46.9	neoplasm	disorder
myeloma	Myeloma	109989006	C90.0	neoplasm	disorder
myositis	Myositis	26889001	M60.99	musculoskeletal	disorder
narcolepsy	Narcolepsy	60380001	G47.4	unclassified	disorder
necrotising-fasciitis	Necrotising fasciitis	52486002	M72.69	infectious	disorder
nephrotic-syndrome	Nephrotic syndrome in children	52254009	N04.9	genitourinary	disorder
neurofibromatosis-type-1	Neurofibromatosis type 1 (NF1)	92824003	Q85.0	neoplasm	disorder
neurofibromatosis-type-2	Neurofibromatosis type 2 (NF2)	92503002	Q85.0	neoplasm	disorder
neuromyelitis-optica	Neuromyelitis optica (NMO)	25044007	G36.0	neurological	disorder
night-terrors	Night terrors and nightmares	89675003	F51.4	unclassified	disorder
non-alcoholic-fatty-liver-disease	Non-alcoholic fatty liver disease (NAFLD)	1231824009	K76.0	digestive	disorder
non-allergic-rhinitis	Non-allergic rhinitis	311000119101	J31.0	respiratory	disorder
non-cancerous-benign-brain-tumours	Benign brain tumours, see Non-cancerous (benign) brain tumours	92030004	D33.2	neoplasm	disorder
non-hodgkin-lymphoma	Lymphoma (non-Hodgkin, see Non-Hodgkin lymphoma	118601006	C85.9	neoplasm	disorder
noonan-syndrome	Noonan syndrome	205824006	Q87.1	unclassified	disorder
nosebleed	Nosebleed	249366005	R04.0	unclassified	presentation
oedema	Ankles (swollen), see Swollen ankles, feet and legs (oedema)	267038008	R60.9	unclassified	presentation
oesophageal-atresia	Oesophageal atresia and tracheo-oesophageal fistula	26179002	Q39.0	digestive	disorder
oesophageal-cancer	Oesophageal cancer	363402007	C15.9	neoplasm	disorder
oral-thrush-mouth-thrush	Mouth thrush, see Oral thrush (mouth thrush)	79740000	B37.0	infectious	disorder
orf	Orf	74050005	B08.0	infectious	disorder
osteoarthritis	Osteoarthritis	396275006	M19.99	musculoskeletal	disorder
osteomyelitis	Osteomyelitis	60168000	M86.99	infectious	disorder
osteophyte	Osteophyte (bone spur)	235231000119100	M25.79	musculoskeletal	disorder
osteoporosis	Osteoporosis	64859006	M81.99	musculoskeletal	disorder
otosclerosis	Otosclerosis	11543004	H80.9	ear	disorder
ovarian-cancer	Ovarian cancer	363443007		neoplasm	disorder
