condition	symptom_id
bullous-pemphigoid	336
bunions	168
bunions	337
bunions	338
bursitis	188
bursitis	339
bursitis	340
bursitis	341
bursitis	342
c-difficile	37
c-difficile	38
c-difficile	40
c-difficile	343
cancer	12
cancer	38
cancer	41
cancer	56
cancer	57
cancer	64
cancer	132
cancer	147
cancer	169
cancer	249
cancer	269
cancer	275
cancer	278
cancer	296
cancer	344
cancer	345
cancer	346
cancer	347
cancer	348
cancer	349
cancer	350
cancer	351
cancer	352
cancer	353
carbon-monoxide-poisoning	7
carbon-monoxide-poisoning	19
carbon-monoxide-poisoning	49
carbon-monoxide-poisoning	64
carbon-monoxide-poisoning	239
carbon-monoxide-poisoning	354
carbon-monoxide-poisoning	355
carbon-monoxide-poisoning	356
carpal-tunnel-syndrome	25
carpal-tunnel-syndrome	357
carpal-tunnel-syndrome	358
carpal-tunnel-syndrome	359
cataracts	78
cataracts	79
cataracts	300
cataracts	360
cataracts	361
cataracts	362
cataracts	363
cataracts	364
cellulitis	188
cellulitis	365
cellulitis	366
cerebral-palsy	367
cerebral-palsy	368
cerebral-palsy	369
cerebral-palsy	370
cerebral-palsy	371
cerebral-palsy	372
cerebral-palsy	373
cervical-cancer	160
cervical-cancer	255
cervical-cancer	351
cervical-cancer	374
cervical-spondylosis	299
cervical-spondylosis	375
charles-bonnet-syndrome	77
charles-bonnet-syndrome	376
charles-bonnet-syndrome	377
charles-bonnet-syndrome	378
chiari-malformation	12
chiari-malformation	17
chiari-malformation	19
chiari-malformation	49
chiari-malformation	78
chiari-malformation	141
chiari-malformation	183
chiari-malformation	306
chiari-malformation	358
chiari-malformation	379
chickenpox	37
chickenpox	40
chickenpox	46
chickenpox	267
chickenpox	380
chilblains	381
childhood-cataracts	382
chlamydia	160
chlamydia	244
chlamydia	255
chlamydia	257
chlamydia	332
chlamydia	383
chlamydia	384
chlamydia	385
chlamydia	386
chlamydia	387
cholera	49
cholera	343
cholera	388
cholesteatoma	16
cholesteatoma	389
cholesteatoma	390
cholesteatoma	391
chronic-myeloid-leukaemia	26
chronic-myeloid-leukaemia	40
chronic-myeloid-leukaemia	54
chronic-myeloid-leukaemia	78
chronic-myeloid-leukaemia	268
chronic-myeloid-leukaemia	366
chronic-myeloid-leukaemia	392
chronic-myeloid-leukaemia	393
chronic-myeloid-leukaemia	394
chronic-myeloid-leukaemia	395
chronic-myeloid-leukaemia	396
chronic-myeloid-leukaemia	397
chronic-obstructive-pulmonary-disease-copd	64
chronic-obstructive-pulmonary-disease-copd	326
chronic-obstructive-pulmonary-disease-copd	398
chronic-obstructive-pulmonary-disease-copd	399
chronic-pancreatitis	49
chronic-pancreatitis	57
chronic-pancreatitis	62
chronic-pancreatitis	71
chronic-pancreatitis	339
chronic-pancreatitis	346
chronic-pancreatitis	400
chronic-pancreatitis	401
chronic-traumatic-encephalopathy	95
chronic-traumatic-encephalopathy	112
chronic-traumatic-encephalopathy	302
chronic-traumatic-encephalopathy	318
chronic-traumatic-encephalopathy	402
chronic-traumatic-encephalopathy	403
chronic-traumatic-encephalopathy	404
chronic-traumatic-encephalopathy	405
cluster-headaches	19
cluster-headaches	38
cluster-headaches	333
cluster-headaches	406
cluster-headaches	407
cluster-headaches	408
cluster-headaches	409
cluster-headaches	410
cluster-headaches	411
cluster-headaches	412
cluster-headaches	413
cluster-headaches	414
coeliac-disease	120
coeliac-disease	248
coeliac-disease	346
coeliac-disease	415
coeliac-disease	416
coeliac-disease	417
coeliac-disease	418
coeliac-disease	419
coeliac-disease	420
coeliac-disease	421
cold-sores	336
cold-sores	348
cold-sores	422
cold-sores	423
cold-sores	424
cold-sores	425
cold-sores	426
cold-sores	427
colic	157
colic	356
colic	428
colic	429
colic	430
colic	431
colic	432
colic	433
colic	434
colic	435
colour-vision-deficiency	436
colour-vision-deficiency	437
colour-vision-deficiency	438
colour-vision-deficiency	439
common-cold	37
common-cold	38
common-cold	101
common-cold	264
common-cold	332
common-cold	333
common-cold	347
common-cold	440
common-cold	441
common-cold	442
common-cold	443
compartment-syndrome	358
compartment-syndrome	444
compartment-syndrome	445
compartment-syndrome	446
complex-regional-pain-syndrome	24
complex-regional-pain-syndrome	446
complex-regional-pain-syndrome	447
complex-regional-pain-syndrome	448
complex-regional-pain-syndrome	449
complex-regional-pain-syndrome	450
complex-regional-pain-syndrome	451
complex-regional-pain-syndrome	452
complex-regional-pain-syndrome	453
complex-regional-pain-syndrome	454
congenital-heart-disease	54
congenital-heart-disease	64
congenital-heart-disease	87
congenital-heart-disease	165
congenital-heart-disease	286
congenital-heart-disease	395
